director,Source: https://en.wikipedia.org/wiki/List_of_female_film_and_television_directors
Abby Epstein,
Abby Ginzberg,
Abigail Child,
Abigail Disney,
Abiola Abrams,
Adriana Maggs,
Adriana Monti,
Adrienne Mitchell,
Adrienne Shelly,
Aerlyn Weissman,
Afia Nathaniel,
Agnès Jaoui,
Agnès Merlet,
Agnès Varda,
Agnieszka Holland,
Agnieszka Lukasiak,
Agnieszka Piotrowska,
Agnieszka Wojtowicz-Vosloo,
Aida Begi?,
Aimée Danis,
Aisha Tyler,
Aishwarya R. Dhanush,
Aisling Chin-Yee,
Aisling Walsh,
Ajita Suchitra Veera,
Akosua Adoma Owusu,
Akosua Busia,
Alan Rowe Kelly,
Alanis Obomsawin,
Albertina Carri,
Alesia Glidewell,
Alethea Arnaquq-Baril,
Alex Kalymnios,
Alexa Karolinski,
Alexandra Cassavetes,
Alexandra Lazarowich,
Alexandra Leclère,
Alexandra Pelosi,
Alexis Bloom,
Alexis Krasilovsky,
Aleysa Young,
Alice Guy-Blaché,
Alice O'Fredericks,
Alice Troughton,
Alice Wu,
Alicia K. Harris,
Alina Marazzi,
Alison E. Rose,
Alison Maclean,
Alison Murray,
Alison Snowden,
Alix Lambert,
Alla Surikova,
Alli Haapasalo,
Allison Anders,
Allison Argo,
Allison Grodner,
Allison Liddi-Brown,
Allison Mack,
Ally Acker,
Alma Duncan,
Aloha Wanderwell,
Amanda Bearse,
Amanda Forbis,
Amanda Kernell,
Amanda Strong,
Amanda Tapping,
Amber Benson,
Amber Tamblyn,
Amei Wallach,
Ami Canaan Mann,
Aminder Dhaliwal,
Amit Breuer,
Amma Asante,
Amparo Fortuny,
Amy Greenfield,
Amy Heckerling,
Amy Holden Jones,
Amy J. Berg,
Amy Jo Johnson,
Amy Miller,
Amy Poehler,
Amy Redford,
Amy Seimetz,
Amy Serrano,
Amy Sherman-Palladino,
Ana Carolina,
Ana Kokkinos,
Ana Lily Amirpour,
Anaïs Barbeau-Lavalette,
Anais Granofsky,
Andrea Arnold,
Andrea Bussmann,
Andrea Dorfman,
Andrea Giles Rich,
Andrea Mann,
Andrea Shreeman,
Andrea Weiss,
Andrée Pelletier,
André-Line Beauparlant,
Angela Bassett,
Angela Robinson,
Angela Shelton,
Angela Tessinari,
Angelina Jolie,
Angelina Maccarone,
Anisa Mehdi,
Anita Doron,
Anita W. Addison,
Anja Breien,
Anjali Menon,
Anjali Nayar,
Anjelica Huston,
Ann Hui,
Ann Marie Fleming,
Ann Medina,
Ann Shin,
Anna Biller,
Anna Boden,
Anna Elizabeth James,
Anna Eriksson,
Anna Foerster,
Anna Karina,
Anna Malle,
Anna Maria Horsford,
Anna Mastro,
Anna Melikian,
Anna Muylaert,
Annabel Jankel,
Anne Bancroft,
Anne Claire Poirier,
Anne Émond,
Anne Fletcher,
Anne Fontaine,
Anne Heche,
Anne Lévy-Morelle,
Anne Troake,
Anne Wheeler,
Anne-Marie Cadieux,
Annemarie Jacir,
Anne-Marie Miéville,
Anne-Marie Sirois,
Annette K. Olesen,
Annick Blanc,
Annie Griffin,
Annie St-Pierre,
Ansa Ikonen,
Antonia Bird,
Aoife Madden,
Aoife McArdle,
Aparna Sen,
April Mullen,
Ariane Louis-Seize,
Ariane Mnouchkine,
Arlene Sanford,
Arna Selznick,
Arundhati Devi,
Ashley Avis,
Ashley McKenzie,
Asia Argento,
Asia Youngman,
Asinnajaq,
Assia Djebar,
Astrid Henning-Jensen,
Athina Rachel Tsangari,
Atuat Akkitirq,
Audrey Wells,
Auli Mantila,
Aurora Guerrero,
Aurora Martinez,
Autumn de Wilde,
Ava DuVernay,
Avigail Sperber,
Aviva Armour-Ostroff,
Ayten Kuyululu,
Babette Henry,
Babette Mangolte,
Banchi Hanuse,
Bang Eun-jin,
Barbara Albert,
Barbara Cranmer,
Barbara Hammer,
Barbara Kopple,
Barbara Loden,
Barbara Peeters,
Barbara Simmons,
Bárbara Virgínia,
Barbie MacLaurin,
Barbra Amesbury,
Barbra Streisand,
Beeban Kidron,
Belén Funes,
Beryl Fox,
Beth B,
Beth Broderick,
Beth McCarthy-Miller,
Beth Murphy,
Bethany Joy Galeotti,
Bethany Rooney,
Betty Kaplan,
Betty Thomas,
Beverly Sebastion,
Beverly Shaffer,
Bhanumathi Ramakrishna,
Bhavna Talwar,
Bille Eltringham,
Binka Zhelyazkova,
Birgit Hein,
Blessing Effiom Egbe,
Bobbi Jo Hart,
Bodil Ipsen,
Bonnie Ammaq,
Bonnie Franklin,
Bonnie Hunt,
Bonnie Sherr Klein,
Brenda Longfellow,
Brett Story,
Briar Grace-Smith,
Brie Larson,
Brigitte Poupart,
Brigitte Roüan,
Brigitte Sauriol,
Brigitte Sy,
Bronwen Hughes,
Bryce Dallas Howard,
Byambasuren Davaa,
Byun Young-joo,
Caitlin Cronenberg,
Callie Khouri,
Camelia Frieberg,
Camille de Casabianca,
Candida Royalle,
Carinne Leduc,
Carla Simón,
Carmine Pierre-Dufour,
Carol Morley,
Carol Nguyen,
Carol Pineau,
Caroline Leaf,
Caroline Link,
Caroline Monnet,
Caroline Thompson,
Carolyn McMaster,
Carolynne Cunningham,
Carrie Preston,
Casandra Stark,
Catarina Ruivo,
Cate Shortland,
Catherine Annau,
Catherine Bainbridge,
Catherine Black,
Catherine Breillat,
Catherine Corsini,
Catherine Crouch,
Catherine Hardwicke,
Catherine Martin,
Catherine Reitman,
Cathy Yan,
Catlin Adams,
Caytha Jentis,
Cecil Castellucci,
Cecile Starr,
Cecilia Barriga,
Céline Baril,
Céline Sciamma,
Celine Song,
Ceyda Asl? K?l?çk?ran,
Chandler Levack,
Chandra Wilson,
Chantal Akerman,
Chantal Richard,
Charlotte Dauphin,
Charlotte de Turckheim,
Charlotte Wells,
Chelsea McMullan,
Chenyang Zhao,
Cherie Nowlan,
Cherien Dabis,
Cheryl Dunye,
Cheryl Foggo,
Cheryl Hines,
Chihiro Amano,
Chikako Yamashiro,
Chip Fields,
Chloé Leriche,
Chloé Robichaud,
Chloé Zhao,
Chris Vermorcken,
Christene Browne,
Christie Will Wolf,
Christine Edzard,
Christine Jeffs,
Christine Lahti,
Christine Lipinska,
Christine McGlade,
Christine Moore,
Christine Pascal,
Christine Welsh,
Cindy Baer,
Cindy Sherman,
Claire Denis,
Claire McCarthy,
Claire Oakley,
Claire Parker,
Claire Prieto,
Clara Law,
Clare Kilner,
Claudia Llosa,
Claudia Morgado Escanilla,
Claudia Weill,
Clea DuVall,
Cleo Reece,
Cloudy Rhodes,
Coky Giedroyc,
Coline Serreau,
Colleen Murphy,
Coralie Fargeat,
Courteney Cox,
Courtney Hunt,
Cristina Comencini,
Cristina Kotz Cornejo,
Cristina Perincioli,
Cyndi Tang,
Cynthia J. Popp,
Cynthia Scott,
Dahvi Waller,
Daisy Aitkens,
Daisy von Scherler Mayer,
Dana Goldberg,
Dana Inkster,
Dana Nachman,
Danica McKellar,
Daniela Fejerman,
Danièle Thompson,
Danielle Arbid,
Danielle Faraldo,
Danielle Harris,
Danielle Huillet,
Danis Goulet,
Danishka Esterhazy,
Daphna Kastner,
Darlene Naponse,
Darnell Martin,
Dawn Porter,
Dawn Wilkinson,
Deanne Foley,
Dearbhla Walsh,
Debbie Allen,
Debbie Isitt,
Deborah Anderson,
Deborah Chow,
Deborah Day,
Deborah Kampmeier,
Deborah Kaplan,
Deborah Pratt,
Deborah Raffin,
Debra Eisenstadt,
Debra Granik,
Dee Mosbacher,
Dee Rees,
Deepa Mehta,
Delphine Gleize,
Dena Williams,
Denise Filiatrault,
Deniz Gamze Ergüven,
Dennie Gordon,
Denyse Benoit,
Desiree Akhavan,
Desiree Lim,
Dhvani Desai,
Diana Lee Inosanto,
Diana Ringo,
Diane Bertrand,
Diane Cailhier,
Diane English,
Diane Keaton,
Diane Kurys,
Diane Obomsawin,
Dianna Agron,
Dianne Houston,
Dinah Manoff,
Dinara Asanova,
Divine Sung,
Domee Shi,
Dominique Cabrera,
Dominique Cardona,
Donatella Maiorca,
Donna Deitch,
Donna Pescow,
Doris Dörrie,
Doris Wishman,
Dorota K?dzierzawska,
Dorothea Mitchell,
Dorothy A. Atabong,
Dorothy Arzner,
Dorothy Davenport,
Dorothy Lyman,
Drew Barrymore,
Dreya Weber,
Dyan Cannon,
Edet Belzberg,
Edith Carlmar,
Efrat Mishori,
Eileen O'Meara,
Eilis Kirwan,
Eisha Marjara,
Elaine May,
Eleanor Coppola,
Elena Jordi,
Eliane Raheb,
Elisa Miller,
Elisabeth Wilms,
Elisapie Isaac,
Elissa Down,
Elizabeth Allen Rosenbaum,
Elizabeth Allen,
Elizabeth Banks,
Elizabeth Lazebnik,
Elizabeth Sung,
Elle-Máijá Tailfeathers,
Ellen Gittelsohn,
Ellen Kuras,
Ellen Perry,
Ellen S. Pressman,
Ellen Simpson,
Ellie Kanner,
Elodie Keene,
Elske McCain,
Elvira Notari,
Elvire Adjamonsi,
Elza Kephart,
Emerald Fennell,
Emilia Mosquito,
Émilie Mannering,
Emily Harris,
Emily Kai Bock,
Emily Squires,
Emma Seligman,
Emma-Kate Croghan,
Emmanuelle Bercot,
Emmanuelle Schick Garcia,
Erica Anderson,
Eriko Kitagawa,
Erin Lee Carr,
Erma Elzy-Jones,
Esfir Shub,
Esther Bell,
Esther Eng,
Esther Gronenborn,
Esther Valiquette,
Euzhan Palcy,
Eva Dahr,
Evann Siebens,
Evelyn Lambart,
Evelyn Spice Cherry,
Ewa Ewart,
Fabienne Colas,
Fanny Ardant,
Fanta Régina Nacro,
Farah Khan,
Farkhondeh Torabi,
Fatma Begum,
Fawzia Mirza,
Felicia D. Henderson,
Fern Andra,
Fernanda Cardoso,
Feryal Behzad,
Fien Troch,
Fina Torres,
Fiona Cumming,
Flore Vasseur,
Floria Sigismondi,
Forough Farrokhzad,
Fran Drescher,
Frances Buss Buch,
Frances H. Flaherty,
Frances Koncan,
Frances Marion,
Frances-Anne Solomon,
Francesca Archibugi,
Francine McDougall,
Francine Parker,
Francine Pelletier,
Franka Potente,
Franny Armstrong,
Frauke Finsterwalder,
G. B. Jones,
Gabriela Samper,
Gabrielle Beaumont,
Gaëlle d'Ynglemare,
Gail Dolgin,
Gail Harvey,
Gail Mancuso,
Gail Maurice,
Gail Palmer,
Gariné Torossian,
Gaylene Preston,
Geneviève Dulude-De Celles,
Georgia Lee,
Georgina Lightning,
Georgina Willis,
Geretta Geretta,
Germaine Dulac,
Gerry Rogers,
Ghyslaine Côté,
Gia Darling,
Gia Milani,
Giada Colagrande,
Gigi Saul Guerrero,
Gillian Anderson,
Gillian Armstrong,
Gillian Lynne,
Gillian McKercher,
Gina Alajar,
Gina Kim,
Gina Prince-Bythewood,
Ginny Stikeman,
Giulia Marletta,
Gloria Muzio,
Gloria Ui Young Kim,
Glory Leppänen,
Goldie Hawn,
Gracia Querejeta,
Granaz Moussavi,
Greta Gerwig,
Greta Schiller,
Grete Frische,
Gudrun Parker,
Guinevere Turner,
Gulshat Omarova,
Gurinder Chadha,
Guylaine Maroist,
Gwen Arner,
Gwen Haworth,
Gwendolyn Audrey Foster,
Gwyneth Horder-Payton,
Haifaa al-Mansour,
Halima Ouardiri,
Halina Reijn,
Halle Berry,
Hana Makhmalbaf,
Harmony Adesola,
Heather Connell,
Heather Hemmens,
Heather Hill,
Heather Taylor,
Heather Young,
Helaine Head,
Helen Grayson,
Helen Haig-Brown,
Helen Holmes,
Helen Hunt,
Helen Lee,
Helen Shaver,
Helena Cortesina,
Helena Lumbreras,
Helena Solberg,
Helke Sander,
Hella Joof,
Helma Sanders-Brahms,
Hengameh Mofid,
Hermína Týrlová,
Hettie MacDonald,
Hikari,
Hillie Molenaar,
Holly Dale,
Holly Goldberg Sloan,
Hu Mei,
Huang Hui-zhen,
Huang Shuqin,
Huang Xi,
Iara Lee,
Icíar Bollaín,
Ida Lupino,
Ildikó Enyedi,
Ileana Pietrobruno,
Ilene Chaiken,
Illeana Douglas,
Ina Mihalache,
Indrani Pal-Chaudhuri,
Indrani,
Ingrid Jungermann,
Ingrid Veninger,
Inoka Sathyangani,
Irene Angelico,
Irma Raush,
Isabel Coixet,
Isabel Noronha,
Isabel Sandoval,
Isabelle Nanty,
Ish Amitoj Kaur,
Iskra Babich,
Iveta Grófová,
Ivy Ho,
J.A. Steel,
Jackée Harry,
Jackie English,
Jackie Oudney,
Jackie Traverse,
Jacqueline Audry,
Jacqueline Castel,
Jacqueline Kim,
Jacqueline Wright,
Jacquelyn Mills,
Jamie Babbit,
Jan Dunn,
Jan Eliasberg,
Jan Oxenberg,
Jane Anderson,
Jane Arden,
Jane Campion,
Jane Marsh Beveridge,
Jane Spencer,
Jane Wu,
